DIRECTORIO,P424,P4030S1,P4030S1A1,P4030S5,P4030S3,P4030S4,P4030S4A1,P4030S6,P4030S2,MES_REF,DIA_REF,CLASE,REGION,F_EXP_VIV
27784,2,1,2,1,1,1,3,1,1,1,5,1,1,336.43537753
27785,2,1,2,1,1,1,3,1,1,1,6,1,2,162.13975349
27786,1,1,2,1,1,1,2,1,1,1,1,1,2,51.71340554
27787,1,1,3,1,1,1,3,1,1,1,3,1,3,122.50826174
27788,2,1,3,1,1,1,3,2,1,1,3,1,5,358.8118293
27789,2,1,3,2,2,1,3,2,1,1,6,1,6,15.288119025
27790,2,1,3,2,2,1,3,1,1,1,5,1,6,26.880892658
27791,2,1,4,1,1,1,7,1,1,1,1,1,3,91.86879986
27792,2,1,3,1,1,1,3,1,1,1,3,1,5,349.3105679
27793,2,1,2,1,1,1,3,2,1,1,6,1,4,530.68672623
27794,2,1,3,1,1,1,3,1,1,1,3,1,5,293.12278023
27796,1,1,2,1,1,1,8,1,1,1,1,1,3,367.99924123
27797,2,1,2,1,1,1,3,2,1,1,3,1,5,288.67568275
27798,2,1,3,1,1,1,3,1,1,1,3,1,5,190.59358245
27799,1,1,1,1,1,1,3,1,1,1,1,1,1,47.108530053
27800,1,1,2,1,2,1,3,1,1,1,4,1,6,23.646550257
27801,3,1,2,1,1,1,3,2,1,1,5,1,3,432.60353197
27802,2,1,1,1,1,1,3,2,1,1,3,1,4,164.50016238
27803,2,1,1,1,1,1,3,1,1,1,5,1,4,119.29034858
27804,3,1,2,1,1,1,3,1,1,1,3,1,5,244.37133704
27805,1,1,1,1,1,1,3,2,1,1,1,1,1,49.475848003
27806,2,1,3,1,1,1,3,1,1,1,6,1,4,336.12179053
27807,3,1,3,1,1,1,3,2,2,1,4,1,3,456.18849447
27809,2,1,2,1,1,1,3,1,1,1,7,1,1,75.921256463
27810,2,1,2,1,1,1,3,1,1,1,5,1,3,293.10599053
27811,2,1,1,1,1,1,3,2,1,1,6,1,4,142.00257364
27812,1,1,2,1,1,1,3,2,2,1,2,1,3,328.98646952
27813,3,1,2,1,1,1,8,2,2,1,4,1,3,493.26925737
27814,2,1,3,1,1,1,3,1,1,1,5,1,1,260.79776324
27815,2,1,1,1,1,1,3,2,1,1,2,1,1,308.94768955
27816,1,1,3,1,1,1,3,1,1,1,1,1,2,197.66830492
27817,2,1,2,1,1,1,3,1,1,1,5,1,1,355.45802743
27818,2,1,2,1,1,1,3,1,1,1,4,1,3,449.63053103
27819,3,1,1,1,1,1,8,2,2,1,1,1,3,287.32759524
27820,2,1,3,1,1,1,3,1,1,1,2,1,5,372.311454
27821,1,1,1,1,1,1,7,1,1,1,6,1,1,159.31479062
27822,2,1,4,1,1,1,3,1,1,1,2,1,5,361.0424381
27823,2,1,2,1,1,1,3,1,1,1,5,1,4,290.32804504
27824,1,1,2,1,1,1,3,2,1,1,6,1,4,224.38078806
27825,2,1,1,1,1,1,3,1,2,1,1,1,3,251.37994623
27826,1,1,2,1,1,1,3,1,1,1,4,1,2,173.31857529
27827,2,1,1,1,1,1,3,1,1,1,2,1,4,188.38007731
27828,3,1,3,1,1,1,3,2,1,1,6,1,3,445.97873003
27829,2,1,2,1,1,1,3,2,1,1,5,1,1,344.02221833
27830,1,1,3,1,1,1,3,1,1,1,3,1,3,159.88963139
27832,1,1,1,1,1,1,7,2,1,1,3,1,1,164.70842455
27833,1,1,2,1,1,1,3,1,1,1,5,1,1,251.11630764
27834,2,1,2,1,1,1,3,1,1,1,6,1,1,277.54920294
27835,2,1,2,1,1,1,3,2,2,1,3,1,3,395.2969811
27836,2,1,2,1,2,1,3,1,2,1,1,1,4,147.85401291
27837,2,1,2,1,1,1,3,1,1,1,3,1,4,137.43537798
27838,1,1,1,1,1,1,7,1,1,1,5,1,1,197.53842084
27839,2,1,1,1,1,1,3,2,1,1,3,1,1,290.51771168
27840,2,1,1,1,1,1,3,2,2,1,6,1,4,364.42437537
27841,3,1,2,1,1,1,3,2,2,1,1,1,4,143.36865201
27842,1,1,1,2,2,1,2,2,2,1,3,1,2,82.282677297
27843,1,1,2,1,1,1,3,1,1,1,5,1,2,185.98130173
27844,2,1,2,1,1,1,3,1,1,1,3,1,5,332.99885103
27845,1,1,3,1,1,1,3,1,1,1,1,1,3,167.55144344
27846,2,1,2,1,1,1,3,1,1,1,6,1,1,306.73812258
27847,1,1,2,1,1,1,3,1,1,1,1,1,1,337.19572377
27848,1,1,2,1,1,1,3,2,1,1,3,1,3,371.9273869
27849,3,1,2,1,1,1,2,1,1,1,1,1,5,539.98767983
27850,1,1,1,1,1,2,,2,1,1,7,1,1,146.05217675
27851,1,1,3,1,1,1,3,1,1,1,7,1,5,291.69589125
27852,2,1,3,1,1,1,3,1,1,1,6,1,2,156.81368999
27853,1,1,3,1,1,1,3,1,1,1,1,1,3,141.88481208
27854,1,1,1,1,1,1,7,1,1,1,6,1,1,145.48470366
27855,1,1,1,2,2,1,2,2,2,1,3,1,2,70.720745813
27856,2,1,3,1,1,1,3,1,1,1,1,1,5,305.11614045
27857,2,1,2,1,1,1,3,1,1,1,7,1,3,427.60706763
27858,2,1,3,1,1,1,3,1,1,1,1,1,5,316.42714563
27859,2,1,3,1,1,1,3,1,1,1,3,1,5,242.90450582
27860,2,1,1,1,1,1,3,1,1,1,1,1,4,101.65287354
27861,1,1,2,1,1,1,3,2,2,1,7,1,2,260.92331306
27862,2,1,2,1,1,1,3,1,1,1,1,1,5,496.4913687
27863,2,1,1,2,2,1,2,2,2,1,1,1,2,87.158301197
27864,1,1,1,2,2,1,2,2,2,1,1,1,2,67.389180197
27865,2,1,1,1,1,1,3,2,1,1,3,1,4,373.18894427
27866,2,1,4,1,1,1,3,1,1,1,1,1,5,279.91975694
27867,2,1,3,1,1,1,3,1,1,1,7,1,2,200.6307973
27868,1,1,3,1,1,1,3,1,1,1,1,1,5,275.97105028
27869,2,1,3,1,1,1,3,1,1,1,4,1,5,303.08083402
27870,3,1,3,1,1,1,3,1,2,1,7,1,3,516.33779943
27871,2,1,4,1,1,1,3,1,1,1,1,1,5,349.09565877
27872,2,1,2,1,1,1,3,1,1,1,1,1,4,162.02242207
27873,2,1,1,1,1,1,3,1,1,1,1,1,4,152.69551464
27874,2,1,2,1,1,1,3,1,1,1,7,1,1,372.79932397
27875,2,1,2,1,1,1,3,1,1,1,4,1,1,73.421772253
27876,2,1,4,1,1,1,3,1,1,1,1,1,5,259.70018147
27877,1,1,1,2,2,1,2,2,2,1,2,1,2,85.47318965
27878,2,1,3,1,1,1,3,1,1,1,4,1,5,374.41953417
27879,1,1,1,1,1,1,7,1,1,1,1,1,1,170.42381624
27880,1,1,2,1,1,1,3,1,1,1,7,1,1,272.97893205
27881,2,1,3,1,1,1,3,1,1,1,4,1,4,406.03855773
27882,2,1,3,1,1,1,3,1,1,1,4,1,2,168.57632708
27885,1,1,2,1,1,1,2,1,1,1,7,1,1,350.03391677
27886,2,1,2,1,1,1,2,1,1,1,1,1,5,405.0400041
27887,1,1,2,1,1,1,2,1,1,1,4,1,4,335.79211283
27888,2,1,3,2,2,2,,1,1,1,2,1,5,326.62330462
27889,2,1,3,1,2,1,3,1,1,1,7,1,1,277.81177794
27890,2,1,3,2,2,1,3,1,1,1,4,1,6,12.536094525
27891,2,1,3,1,2,1,3,1,1,1,4,1,6,11.039404694
27892,1,1,3,1,1,1,3,1,1,1,1,1,5,175.85750811
27893,1,1,3,2,2,1,3,1,1,1,7,1,6,8.0869637617
27894,1,1,3,1,1,1,3,1,1,1,2,1,3,121.99481683
27895,2,1,2,1,1,1,3,2,1,1,5,1,4,349.71789023
27896,1,1,2,1,1,1,3,1,1,1,4,1,4,151.3339448
27898,2,1,4,1,1,1,3,1,1,12,5,1,5,389.70810407
27899,2,1,2,1,2,1,3,1,1,1,4,1,6,14.993852474
27900,1,1,3,1,1,1,3,1,1,1,2,1,3,201.80396094
27901,1,1,1,2,2,1,2,2,2,1,7,1,2,95.628168227
27902,1,1,3,1,1,1,3,1,1,1,4,1,3,148.31828232
27903,2,1,2,1,1,1,3,1,1,1,5,1,4,186.26469845
27904,2,1,4,1,1,1,3,1,1,12,5,1,5,246.40968685
27905,2,1,3,1,1,1,3,1,1,1,7,1,1,341.0743451
27906,1,1,1,1,1,1,7,2,1,1,4,1,1,151.89987865
27907,2,1,3,1,1,1,3,1,1,1,4,1,5,420.7424279
27908,2,1,3,1,1,1,3,1,1,12,5,1,5,269.64589444
27909,1,1,2,1,1,1,3,1,1,1,4,1,1,225.40185115
27910,2,1,2,1,1,1,3,1,1,1,7,1,4,191.99091547
27911,1,1,3,1,1,1,3,1,1,1,4,1,3,137.93054502
27913,2,1,3,1,1,1,3,1,1,12,5,1,5,254.27524014
27914,2,1,3,1,1,1,3,1,2,1,5,1,2,181.39515632
27915,2,1,2,1,1,1,3,1,1,1,7,1,4,242.31988929
27916,1,1,1,1,1,1,3,2,2,1,4,1,1,327.30565737
27917,1,1,2,1,1,1,3,1,1,1,4,1,1,279.72057302
27918,1,1,2,1,1,1,3,1,1,1,5,1,4,105.38160358
27919,2,2,,1,1,1,3,2,1,1,7,1,2,233.47870772
27920,2,1,3,1,1,1,3,1,1,1,6,1,2,156.81368999
27921,2,1,3,1,1,1,3,1,1,1,7,1,5,325.01319222
27922,2,1,2,1,1,1,3,1,1,1,7,1,4,151.88200958
27923,2,1,2,1,1,1,3,2,1,1,4,1,5,344.21384097
27924,2,1,1,1,1,1,3,1,1,1,5,1,4,424.51107383
27925,1,1,2,1,1,1,3,1,1,1,5,1,3,350.87527903
27927,2,1,2,1,1,1,3,1,1,1,4,1,4,240.98858107
27928,2,1,4,1,1,1,3,1,1,1,7,1,5,442.39728027
27929,1,1,1,1,1,1,3,2,1,1,5,1,1,150.17149334
27931,2,1,2,1,1,1,3,1,1,1,6,1,1,71.66740707
27932,2,1,3,2,2,1,3,1,1,1,3,1,6,9.9863674577
27933,1,1,1,1,1,2,,2,1,1,5,1,1,137.74630763
27934,1,1,3,1,1,1,3,1,1,1,7,1,5,415.04587307
27935,2,1,3,1,2,1,3,1,1,1,6,1,6,9.664620791
27937,2,1,3,1,1,1,3,1,1,1,5,1,1,251.22527864
27938,1,1,1,2,2,1,2,2,2,1,6,1,2,82.465459587
27939,1,1,2,1,1,1,3,1,1,1,7,1,1,258.79246317
27940,2,1,3,2,2,1,3,2,2,1,4,1,6,17.916728478
27941,2,1,1,1,1,1,3,2,1,1,4,1,4,240.82795644
27942,2,1,1,1,1,1,3,1,1,1,4,1,4,270.94292826
27943,2,1,2,1,1,1,3,1,1,1,5,1,1,320.04438505
27944,2,1,2,1,1,1,3,1,1,1,7,1,3,412.97853287
27945,2,1,1,1,1,1,3,1,1,1,5,1,4,344.16683597
27946,2,1,2,1,1,1,3,2,2,1,7,1,4,194.17891892
27947,1,1,2,1,1,1,3,1,1,1,6,1,2,168.84598195
27949,2,1,2,1,1,1,3,1,1,1,6,1,2,185.20991203
27950,1,1,3,1,1,1,3,1,1,1,6,1,3,169.74557611
28228,2,1,4,1,1,1,3,1,1,1,3,1,1,307.31959101
28229,1,1,3,1,1,1,3,1,1,1,3,1,1,206.04271634
28230,1,1,2,1,1,1,3,1,2,1,3,1,3,339.93263983
28231,2,1,1,1,1,1,3,1,1,1,8,1,1,55.089519937
28232,2,1,1,1,1,1,3,2,1,1,8,1,1,177.90359912
28233,2,1,1,1,1,1,3,2,1,1,1,1,1,131.77801763
28234,2,1,1,1,1,1,3,1,1,1,1,1,1,145.91616408
28236,1,1,1,2,2,1,3,1,1,1,3,1,6,9.9163204373
28237,1,1,1,1,1,1,2,2,1,1,3,1,2,61.23475034
28238,1,1,1,1,2,1,3,1,2,1,3,1,1,57.795742087
28239,1,1,1,1,1,1,2,2,1,1,8,1,2,65.685555143
28240,2,1,2,1,1,1,2,1,1,1,8,1,2,421.4602153
28241,1,1,1,1,1,1,2,2,1,1,3,1,2,59.104712673
28242,1,1,3,1,1,1,3,1,1,1,8,1,2,246.9851753
28243,2,1,2,1,1,1,3,1,1,1,3,1,4,274.10671994
28244,2,1,3,1,1,1,3,1,1,1,3,1,2,212.15075835
28245,2,1,2,1,1,1,8,1,2,1,8,1,3,437.70196317
28246,2,1,1,1,1,1,3,2,1,1,1,1,1,284.24745846
28247,2,1,1,2,2,1,3,1,1,1,1,1,6,11.529679612
28248,2,1,2,1,1,1,3,1,1,1,3,1,1,334.76126503
28249,1,1,6,1,1,1,2,1,1,1,3,1,2,162.29751268
28250,1,1,1,2,2,1,3,1,1,1,8,1,6,6.836089352
28251,1,1,1,1,1,1,8,1,1,1,3,1,3,266.54964546
28252,2,1,4,1,1,1,7,1,1,1,3,1,3,99.089657463
28253,1,1,6,1,1,1,3,1,1,1,8,1,2,198.24003542
28254,1,1,2,1,1,1,3,2,1,1,3,1,2,215.14037258
28255,2,1,1,1,1,1,3,2,1,1,8,1,1,324.41433134
28256,2,1,1,1,1,1,3,2,1,1,1,1,1,248.30110269
28257,2,1,2,1,1,1,2,1,1,1,3,1,2,382.30122913
28258,1,1,1,1,1,1,3,2,1,1,3,1,1,282.84350276
28259,2,1,2,1,1,1,3,1,1,1,8,1,1,380.37330693
28260,2,1,3,1,1,1,2,1,1,1,4,1,2,376.6122329
28262,1,1,1,2,2,1,3,1,1,1,1,1,6,13.777255672
28263,2,1,1,1,1,1,1,2,1,1,3,1,1,167.71222205
28265,1,1,6,1,1,1,3,1,1,1,4,1,2,189.85985364
28266,2,1,4,1,1,1,7,1,1,1,3,1,3,106.5698902
28267,2,1,4,1,1,1,7,1,1,1,8,1,3,123.74830134
28268,2,1,1,1,1,1,3,2,1,1,3,1,1,170.38209583
28270,3,1,2,1,1,1,3,1,2,1,3,1,2,244.56417874
28271,2,1,1,1,1,1,3,1,1,1,8,1,3,472.5178551
28272,1,1,1,2,2,2,,2,2,1,3,1,1,171.43095432
28273,1,1,1,1,2,1,3,1,1,1,3,1,1,67.147438873
28274,3,1,2,1,1,1,3,2,2,1,8,1,2,274.09497502
28277,2,1,1,1,1,1,3,1,1,1,8,1,3,246.16483186
28278,2,1,3,1,1,1,2,1,1,1,3,1,2,423.47010263
28279,2,1,3,1,1,1,3,1,1,1,8,1,1,168.96000437
28281,2,1,2,1,1,1,3,1,1,1,8,1,4,457.62020437
28282,2,1,1,1,1,1,3,1,1,1,3,1,4,365.8715685
28283,2,1,3,2,2,1,3,1,1,1,8,1,6,10.174601803
28284,1,1,3,1,1,1,3,1,1,1,1,1,1,145.29779549
28286,1,1,2,1,1,1,3,1,1,1,6,1,1,297.51834634
28287,2,1,2,1,1,1,3,1,1,1,8,1,4,479.11630167
28288,1,1,1,2,2,1,3,1,1,1,3,1,6,6.4951494937
28289,2,1,4,1,1,1,6,1,1,1,1,1,3,313.12548438
28290,1,1,3,1,1,1,2,1,1,1,1,1,2,370.70117803
28292,2,1,1,1,1,1,3,2,1,1,8,1,1,277.0344457
28294,1,1,2,1,1,1,3,1,1,1,6,1,2,215.57242066
28295,2,1,3,2,2,1,3,1,1,1,1,1,6,7.2219791053
28296,1,1,2,1,1,1,3,1,1,1,1,1,2,221.06072169
28298,1,1,2,1,1,1,3,1,1,1,7,1,2,230.31618748
28299,2,1,2,1,1,1,3,1,1,1,6,1,2,192.17955062
28300,1,1,1,1,2,1,3,1,1,1,1,1,1,158.38336237
28301,2,1,2,1,1,1,3,1,1,1,2,1,2,248.69261425
28302,2,1,1,1,1,1,3,1,1,1,8,1,4,286.86037834
28303,2,1,4,1,1,1,3,1,1,1,8,1,1,298.99250317
28305,2,1,2,1,1,1,3,1,1,1,1,1,2,246.88468533
28306,2,1,1,1,1,1,3,1,1,1,8,1,4,288.4254806
28307,2,1,2,1,1,1,3,1,1,1,8,1,1,366.08375407
28308,1,1,2,1,1,1,8,2,1,1,8,1,3,443.9080475
28309,1,1,3,1,1,1,3,1,1,1,1,1,2,210.26221439
28310,1,1,3,2,2,1,3,1,1,1,1,1,6,17.614225468
28311,2,1,3,2,2,1,3,2,1,1,8,1,6,8.622192551
28312,2,1,4,1,1,1,3,1,1,1,1,1,1,209.33595265
28313,1,1,1,1,2,1,3,2,2,1,1,1,1,133.15734723
28314,2,1,4,1,1,1,6,1,1,1,8,1,3,340.95358063
28315,1,1,1,2,2,1,3,1,1,1,8,1,6,9.5415198457
28316,1,1,1,2,2,2,,2,2,1,8,1,1,187.34575669
28317,2,1,2,1,1,1,3,1,1,1,8,1,1,313.44543508
28318,2,1,4,1,1,1,3,1,1,1,8,1,1,342.2824675
28320,1,1,1,1,1,1,2,1,1,1,8,1,2,56.620018623
28321,2,1,1,1,1,1,3,2,1,1,8,1,1,219.19189985
28322,3,1,2,1,2,1,3,2,2,1,8,1,4,131.30129459
28328,3,1,2,1,1,1,3,1,1,1,7,1,5,460.3728728
28329,2,1,1,1,2,1,3,1,1,1,7,1,1,169.00226112
28330,1,1,4,1,1,1,3,1,1,1,5,1,4,230.9800714
28331,3,1,2,1,1,1,3,1,2,1,4,1,2,221.33464186
28332,2,1,2,1,1,1,3,1,1,1,6,1,5,315.39877837
28333,2,1,1,1,1,1,3,1,1,1,4,1,4,385.46841923
28334,2,1,3,1,1,1,3,1,1,1,7,1,5,337.23934043
28335,2,1,1,1,1,1,3,1,1,1,7,1,1,308.2768063
28336,1,1,3,1,1,1,3,1,1,1,5,1,4,140.50560323
28338,2,1,1,1,1,1,3,1,1,1,5,1,5,352.59948417
28339,2,1,2,1,1,1,3,1,1,1,7,1,5,467.87002453
28340,2,1,4,1,1,1,7,1,1,1,6,1,3,101.76219312
28341,1,1,2,1,1,1,3,1,1,1,5,1,3,318.39964699
28342,2,1,1,1,1,1,3,1,1,1,4,1,4,197.06467988
28343,1,1,2,1,1,1,3,1,1,1,7,1,2,255.19833447
28344,2,1,2,1,1,1,3,1,1,1,4,1,5,466.18802493
28345,2,1,2,1,1,1,3,2,1,1,6,1,1,270.65941064
28346,1,1,6,1,1,1,3,1,1,1,5,1,2,196.5701587
28347,2,1,3,1,1,2,,2,1,1,7,1,3,429.1377744
28348,2,1,3,1,1,1,3,1,1,1,4,1,5,282.26961311
28349,1,1,2,1,1,1,3,1,1,1,5,1,1,251.11630764
28351,2,1,2,1,1,1,3,1,1,1,7,1,4,421.0165642
28352,2,1,1,1,1,1,3,2,1,1,4,1,5,293.70223627
28353,1,1,1,1,2,1,3,2,1,1,7,1,3,619.18273483
28354,2,1,4,1,1,1,7,1,1,1,5,1,3,87.253888457
28355,2,1,2,1,1,1,3,1,1,1,4,1,5,603.39589733
28356,2,1,3,1,1,1,3,1,1,1,6,1,3,426.57508627
28357,2,1,3,2,2,1,3,1,1,1,7,1,6,21.361406015
28358,2,1,6,1,1,1,3,1,1,1,7,1,3,278.25840915
28360,1,1,2,1,1,1,3,2,1,1,5,1,1,263.77293443
28361,2,1,3,1,1,1,3,1,1,1,7,1,5,262.41807798
28362,2,1,3,1,1,1,3,1,1,1,5,1,2,191.84587902
28364,2,1,1,1,1,1,3,1,1,1,1,1,4,146.94591702
28365,2,1,2,1,1,1,3,1,1,1,7,1,5,303.1971003
28366,1,1,6,1,1,1,2,1,1,1,5,1,2,188.50581106
28368,1,1,2,1,1,1,3,1,1,1,7,1,5,332.4380708
28369,2,1,2,1,1,1,3,1,1,1,6,1,4,182.97412797
28370,2,1,3,1,1,1,3,1,1,1,4,1,5,279.36599102
28371,1,1,1,1,1,1,3,1,1,1,5,1,4,158.08955717
28372,1,1,2,1,1,1,3,2,2,1,7,1,3,430.02557993
28375,2,1,2,1,1,1,3,1,1,1,7,1,2,260.22414446
28376,1,1,2,1,1,1,3,1,1,1,7,1,5,372.65735763
28377,2,1,4,1,1,1,3,1,1,1,7,1,1,286.72451493
28378,1,1,1,1,1,1,3,2,2,1,3,1,4,322.4864584
28379,2,1,2,1,1,1,3,2,1,1,7,1,3,432.9051779
28380,1,1,1,2,1,1,3,2,1,1,7,1,4,173.52320011
28381,1,1,3,1,1,1,3,1,1,1,6,1,1,150.77370924
28382,1,1,1,2,2,2,,2,2,1,5,1,1,152.81302461
28383,1,1,1,1,1,1,3,2,1,1,4,1,4,172.87768219
28384,1,1,4,1,1,1,3,1,1,1,7,1,5,249.30737582
28385,2,1,3,1,1,1,3,1,1,1,5,1,5,482.08708107
28386,2,1,2,1,1,1,3,1,1,1,4,1,1,378.35450443
28387,2,1,2,1,1,1,3,1,1,1,6,1,3,426.2135444
28388,1,1,3,1,1,1,3,1,1,1,7,1,2,225.35801791
28389,2,1,6,1,1,1,3,1,1,1,5,1,3,242.23640616
28390,2,1,3,1,1,1,3,1,1,1,7,1,5,238.05072192
28391,2,1,2,1,1,1,3,1,1,1,4,1,4,410.42339823
28392,2,1,2,1,1,1,3,1,1,1,7,1,5,290.04955537
28393,1,1,1,1,1,1,3,1,1,1,6,1,1,53.18653795
28394,2,1,2,1,1,1,3,1,1,1,5,1,1,348.08820827
28395,1,1,4,1,1,1,3,1,1,1,7,1,5,395.492457
28396,2,1,4,1,1,1,7,1,1,1,7,1,3,111.49464088
28397,1,1,1,1,1,1,3,2,2,1,4,1,4,380.69086033
28398,1,1,2,1,1,1,3,1,1,1,6,1,2,388.92170193
28399,2,1,3,2,2,1,3,1,1,1,5,1,6,14.008970633
28400,2,1,1,1,1,1,3,2,1,1,4,1,4,147.50679327
28401,2,1,2,1,1,1,3,1,1,1,8,1,4,279.28829252
28402,2,1,2,1,1,1,3,1,1,1,7,1,5,329.51995386
28403,2,1,6,1,1,1,3,1,1,1,6,1,3,255.01257556
28404,2,1,1,1,1,1,3,1,1,1,4,1,3,448.5815365
28405,2,1,3,1,1,2,,2,1,1,4,1,3,387.31347283
28406,2,1,4,1,1,1,6,1,1,1,7,1,3,297.0127643
28407,2,1,2,1,1,1,3,2,1,1,7,1,5,326.70413434
28408,2,1,4,1,1,1,6,1,1,1,4,1,3,287.20050318
28409,3,1,2,1,2,1,3,2,2,1,6,1,4,150.18427765
28410,1,1,2,1,1,1,2,1,1,1,4,1,2,420.39045637
28411,2,1,2,1,1,1,3,2,1,1,7,1,5,326.89940506
28412,2,1,3,1,1,2,,1,1,1,4,1,3,357.65797573
28413,1,1,1,1,2,1,3,1,2,1,6,1,1,60.453170663
28414,2,1,1,1,1,1,3,2,1,1,7,1,1,146.05217675
28415,2,1,4,1,1,1,3,1,1,1,3,1,3,318.20290371
28416,2,1,3,1,1,1,3,1,1,1,4,1,1,152.35936715
28417,1,1,3,1,1,1,3,1,1,1,7,1,2,146.58321683
28418,2,1,3,1,1,1,3,1,1,1,1,1,4,125.46492928
28419,1,1,1,2,2,1,3,2,2,1,6,1,6,12.80365142
28420,2,1,4,1,1,1,3,1,1,1,4,1,3,279.71562559
28421,2,1,3,1,1,1,3,1,2,1,4,1,1,171.59309055
28422,2,1,4,1,1,1,3,1,1,1,6,1,3,271.28016383
28423,2,1,1,1,1,1,3,1,1,1,1,1,3,378.2815542
28424,2,1,1,1,1,1,3,1,1,1,7,1,3,456.75130283
28425,2,1,4,1,1,1,7,1,1,1,4,1,3,113.75318249
28426,2,1,3,1,1,1,3,2,2,1,4,1,2,236.26599252
28427,1,1,1,1,2,2,,2,1,1,1,1,3,597.3419531
28428,2,1,2,1,1,1,3,2,1,1,4,1,5,314.76399375
28429,1,1,2,1,1,1,8,1,1,1,4,1,3,500.6354117
28430,2,1,3,2,2,1,3,1,1,1,6,1,6,10.19207935
28431,2,1,2,1,1,1,3,1,1,1,4,1,5,264.72575264
28432,2,1,1,1,1,1,3,1,1,1,7,1,5,428.09951417
28433,2,1,4,1,1,1,3,1,1,1,1,1,4,244.01055797
28434,2,1,3,2,2,1,3,1,1,1,4,1,6,14.286232524
28436,1,1,1,1,1,1,3,1,1,1,4,1,1,280.84079998
28437,2,1,4,1,1,1,7,1,1,1,7,1,3,101.00089204
28438,1,1,2,1,1,1,3,2,1,1,1,1,3,439.53646617
28439,1,1,1,1,1,1,3,2,1,1,6,1,4,321.44409998
28440,3,1,2,1,2,1,3,2,2,1,5,1,4,108.23871778
28441,1,1,1,2,2,1,3,1,1,1,4,1,6,8.35739635
28442,1,1,2,1,1,1,8,2,1,1,7,1,3,444.98631757
28443,2,1,2,1,1,1,3,2,1,1,1,1,3,639.76634163
28444,1,1,1,1,1,1,3,1,1,1,5,1,3,340.71409297
28445,1,1,1,2,2,1,3,2,2,1,6,1,6,10.19207935
28446,2,1,3,1,1,1,3,1,1,1,4,1,3,394.63772863
28448,1,1,3,1,1,1,3,1,1,1,1,1,5,410.8679016
28449,1,1,2,1,1,1,3,2,1,1,6,1,1,330.11417098
28450,1,1,1,1,1,1,3,2,1,1,5,1,3,209.88151791
28451,2,1,4,2,2,1,3,1,1,1,7,1,1,363.68039203
28452,1,1,2,1,1,1,3,2,1,1,3,1,4,330.73550464
28453,1,1,1,1,1,1,8,1,1,1,5,1,3,235.02655664
28454,1,1,1,1,1,1,3,2,1,1,6,1,1,310.15466579
28455,2,1,2,1,1,1,3,1,1,1,1,1,5,245.06908931
28456,1,1,1,2,2,1,3,2,2,1,7,1,1,202.64275257
28457,1,1,1,1,1,1,3,1,2,1,4,1,1,57.89291971
28458,1,1,2,1,1,1,3,2,1,1,4,1,3,354.9300828
28459,1,1,3,1,1,1,2,1,1,1,5,1,2,430.14858563
28460,2,1,2,1,1,1,3,1,1,1,1,1,5,251.99425059
28461,1,1,1,2,2,1,3,2,1,1,7,1,6,11.191756096
28462,2,1,2,1,1,1,3,1,1,1,7,1,1,327.91168836
28463,1,1,1,1,2,1,3,1,1,1,4,1,1,163.63595907
28464,3,1,2,1,1,1,3,2,2,1,7,1,4,137.05903816
28465,2,1,3,1,1,1,3,1,1,1,1,1,5,221.27370593
28466,2,1,1,1,1,1,3,2,1,1,5,1,1,136.85466387
28467,2,1,1,1,1,1,8,1,1,1,4,1,3,297.07603643
28468,2,1,1,1,1,1,3,2,1,1,7,1,1,164.80272116
28469,2,1,2,1,1,1,3,1,1,1,7,1,1,304.79468996
28470,2,1,2,1,1,1,3,1,1,1,1,1,5,262.05235904
28471,1,1,1,1,2,1,3,1,1,1,5,1,1,45.779851823
28472,2,1,1,1,1,1,3,1,2,1,7,1,3,295.18564144
28473,2,1,3,1,1,1,3,1,1,1,1,1,3,313.0754997
28474,1,1,2,1,1,1,3,1,1,1,4,1,1,401.99153353
28475,2,1,1,1,1,1,3,1,1,1,7,1,4,278.78511898
28476,1,1,1,1,1,1,3,1,1,1,7,1,4,452.70652097
28477,2,1,2,1,1,1,3,1,1,1,6,1,5,321.52474914
28478,2,1,1,1,1,1,3,2,1,1,6,1,1,133.79005668
28479,1,1,2,1,1,1,3,2,1,1,7,1,1,246.06056078
28480,2,1,4,1,1,1,3,1,1,1,5,1,1,334.5336289
28481,2,1,1,1,1,1,2,1,1,1,4,1,5,363.62877123
28482,2,1,2,1,1,1,3,1,1,1,6,1,5,411.77126383
28483,2,1,1,2,2,1,3,1,1,1,7,1,6,9.0172305277
28484,2,1,1,1,1,1,3,2,2,1,1,1,1,261.17698171
28485,2,1,1,1,1,1,3,1,1,1,6,1,5,417.60619003
28486,1,1,1,1,1,1,3,2,1,1,4,1,5,246.50486017
28487,2,1,2,1,1,1,3,1,1,1,1,1,3,323.31343794
28488,1,1,1,1,2,1,3,2,2,1,5,1,1,49.468011453
28489,1,1,2,1,1,1,2,2,1,1,6,1,3,314.13774964
28491,2,1,4,1,1,1,3,1,1,1,1,1,3,251.06842559
28492,2,1,4,1,1,1,3,1,1,1,5,1,3,252.27406712
28493,1,1,2,1,1,1,2,2,1,1,6,1,3,387.3825562
28495,2,1,2,1,1,1,3,1,1,1,6,1,1,357.66748207
28496,1,1,2,1,1,1,3,1,1,1,3,1,4,323.24867522
28497,1,1,1,1,1,1,3,1,1,1,1,1,1,284.45444686
