DIRECTORIO,P424,P4030S1,P4030S1A1,P4030S5,P4030S3,P4030S4,P4030S4A1,P4030S6,P4030S2,MES_REF,DIA_REF,CLASE,REGION,F_EXP_VIV
268,3,1,2,1,1,1,3,2,2,9,1,1,4,165.27707111
272,1,2,,2,2,2,,2,2,9,2,2,1,312.96245085
275,1,1,3,1,1,1,8,1,1,9,7,1,3,411.72801457
277,1,1,3,1,1,1,8,1,1,9,2,1,3,391.85278243
278,2,1,2,1,1,1,2,2,2,9,7,2,2,165.31718426
282,1,1,2,1,1,1,3,1,1,9,2,1,3,132.75151357
285,2,1,2,1,1,1,3,1,1,9,2,1,2,413.01804753
288,2,1,2,1,1,1,3,1,1,9,1,2,2,178.90449559
290,2,1,1,1,1,1,3,1,1,9,1,1,4,379.5203777
293,1,1,3,1,1,1,3,2,1,9,2,1,2,227.79377658
294,1,1,2,1,1,1,3,1,1,9,2,1,2,213.225017
309,1,1,1,1,1,1,3,2,1,9,3,1,1,895.54474017
310,1,1,2,1,1,1,3,1,2,9,5,1,4,212.22260876
312,1,1,2,2,2,1,3,1,1,9,4,1,6,12.655455362
315,2,1,1,1,1,1,1,2,1,9,5,1,1,541.4057612
319,1,1,4,2,1,1,3,2,1,9,4,1,6,9.3086015047
321,2,1,5,1,1,1,3,1,1,9,4,1,6,6.9814511287
324,1,1,1,2,2,1,3,2,2,9,7,1,4,83.511706073
326,1,1,1,2,2,2,,2,2,9,4,2,1,130.77441396
327,2,1,4,1,1,1,2,1,1,9,7,1,1,119.56449563
328,2,1,2,1,1,1,3,1,1,9,5,1,4,335.40057203
329,2,1,1,1,1,1,3,2,2,9,5,1,5,366.2271665
330,1,1,1,1,1,1,3,2,1,9,3,1,5,335.8428893
333,2,1,2,1,1,1,2,2,1,9,7,1,1,127.64334391
334,2,1,1,1,1,1,3,1,1,9,5,1,5,394.22077687
341,1,1,1,1,1,1,3,2,1,9,5,1,1,523.48531233
345,1,1,2,1,1,1,8,1,1,9,5,1,3,472.60197387
347,1,1,4,1,1,1,3,1,2,9,3,1,4,184.85481012
349,1,1,1,2,2,2,,2,2,9,5,2,1,227.79610698
